CNN_classlist,mvco_northeastshelf_train_cfg_1.8,mvco_northeastshelf_train_cfg_1.7,mvco_northeastshelf_train_cfg_1.6,mvco_northeastshelf_train_cfg_1.5,mvco_northeastshelf_train_cfg_1.4,mvco_northeastshelf_train_cfg_1.3,toy_set,mvco_northeastshelf_train_cfg_1.2,mvco_northeastshelf_train_cfg_1.1,mvco_northeastshelf_train_cfg,all_train_cfg,HAB_train_cfg,minimal_list_cfg
Acanthoica_quattrospina,1,1,1,1,1,1,0,1,1,1,1,mix,mix
Akashiwo,Dinophyceae,1,1,1,1,1,0,1,1,0,1,0,0
Alexandrium_catenella,Dinophyceae,1,1,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,Dinophyceae
Alexandrium_catenella_TAG_chain,0,0,0,0,0,0,0,0,0,0,1,1,0
Alexandrium_catenella_TAG_dividing,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
Alexandrium_catenella_TAG_doublet,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
Alexandrium_catenella_TAG_fusing,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
Alexandrium_catenella_TAG_infected,0,0,0,0,0,Alexandrium_catenella,0,Alexandrium_catenella,Alexandrium_catenella,Alexandrium_catenella,1,1,0
amoeba,1,1,1,1,1,1,0,1,1,1,1,1,1
Amphidinium,1,1,1,1,1,1,0,1,1,1,1,1,1
Amylax,0,1,1,1,1,1,0,1,1,0,1,1,0
Apedinella,1,1,1,1,1,1,0,1,1,1,1,mix,mix
Asterionellopsis_glacialis,1,1,1,1,1,1,0,1,1,1,1,1,1
Asterodinium,1,1,1,1,1,1,0,1,1,1,1,1,0
Bacillaria,1,1,1,1,1,1,0,1,1,1,1,1,0
Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,0,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae
Bacteriastrum,1,1,1,1,1,1,0,1,1,0,1,0,0
bad,0,0,0,0,0,0,0,0,0,1,1,1,0
Balanion,1,1,1,1,1,1,1,1,1,1,1,1,ciliate
bead,1,1,1,1,1,1,0,1,1,1,1,1,1
Biddulphia,1,1,1,1,1,1,0,1,1,1,1,1,0
bubble,1,1,1,1,1,1,0,1,1,1,1,1,0
Calciopappus,1,1,1,1,1,1,0,1,1,1,1,mix,flagellate
Calciosolenia_brasiliensis,1,1,1,1,1,1,0,1,1,1,1,1,0
camera_spot,1,1,1,1,1,1,0,1,1,1,1,1,0
Cerataulina_pelagica,1,1,1,1,1,1,0,1,1,1,1,1,Cerataulina_pelagica
Ceratium,1,1,1,1,1,1,0,1,1,1,1,1,1
Ceratium_furca,1,1,1,1,1,1,1,1,1,1,1,1,Ceratium
Ceratium_fusus,1,1,1,1,1,1,0,1,1,1,1,1,Ceratium
Ceratium_lineatum,1,1,1,1,1,1,0,1,1,1,1,1,Ceratium
Chaetoceros,Chaetoceros,Chaetoceros,Chaetoceros,1,1,1,0,1,1,1,1,1,1
Chaetoceros_curvusetus,Chaetoceros,Chaetoceros,Chaetoceros,1,1,1,0,1,1,1,1,Chaetoceros,Chaetoceros
